Country,Year,Region,Income Group,"Net official development assistance received (current US$)","Population living in slums (% of urban population)","Exports of goods and services (% of GDP)","GDP per capita (current US$)","Literacy rate, youth total (% of people ages 15-24)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Primary completion rate, total (% of relevant age group)","Trained teachers in primary education (% of total teachers)","Children out of school (% of primary school age)","School enrollment, secondary (% gross)","Government expenditure on education, total (% of government expenditure)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Improved water source (% of population with access)","Improved sanitation facilities (% of population with access)","Pregnant women receiving prenatal care (%)","Diabetes prevalence (% of population ages 20 to 79)","Health expenditure per capita (current US$)","Income share held by lowest 20%","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","GINI index (World Bank estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)","Population ages 0-14 (% of total)","Population ages 15-64 (% of total)","Fuel exports (% of merchandise exports)","High-technology exports (% of manufactured exports)"
"Afghanistan","1982","South Asia","Low income",9330000,,,,,,0.48519,13.50134,,,10.77397,,,236.2,,,,,,,,,,155.227,43.2307317073171,,46.4592684566773,51.1140640156261,,
"Afghanistan","1972","South Asia","Low income",55180000,,14.7632312416105,136.175611318523,,,0.16127,,,,10.34861,,,296.4,,,,,,,,,,145.321,37.6101463414634,,44.8079593776372,52.5746750675264,13.7309154971656,
"Afghanistan","2014","South Asia","Low income",4945130000,62.7,6.63445247528137,633.947864294639,,,0.65834,,,,55.65616,14.46593,0.1,93.9,55.2,31.8,,,56.57452735,,,,8.44900035858154,76.7336,60.3744634146342,,44.8709961512615,52.6943193054805,,
"Afghanistan","1979","South Asia","Low income",105470000,,,278.390630025236,30.06635,18.15768,,,,,,,,255.5,,,,,,,,,,151.9654,41.2505853658537,,45.9739872963596,51.5585797753702,,
"Afghanistan","1962","South Asia","Low income",16930000,,4.87805112036481,58.5059949855131,,,,,,,,,,350.6,,,,,,,,,,145.321,33.2199024390244,,42.6421684946936,54.5540173711431,,
"Afghanistan","1999","South Asia","Low income",142860000,,,,,,,,,,,,0.1,139.9,28.5,22.8,,,,,,,1.13800001144409,157.6444,54.7672682926829,,48.4598354275197,49.2791523666355,,
"Afghanistan","2007","South Asia","Low income",4964910000,,17.8237142691694,380.400955186598,,,0.56961,,,,30.08316,,0.1,113.2,42.6,27.4,,,26.98894729,,,,8.34200000762939,117.39,57.8338292682927,,47.7868069705533,49.9999072554953,,
"Afghanistan","1969","South Asia","Low income",27250000,,10.0946369851427,129.857378095621,,,,,,,,,,313,,,,,,,,,,145.321,36.2603902439024,,44.0437033561884,53.2906555226918,14.8661726967355,
"Afghanistan","1968","South Asia","Low income",29240000,,8.89967664482985,129.562318372974,,,,,,,,,,318.1,,,,,,,,,,145.321,35.8224146341463,,43.8202926661755,53.4843143118873,12.5789673516027,
"Afghanistan","1975","South Asia","Low income",69450000,,12.6760568934735,188.085136094081,,,0.17439,,,,11.04103,,,279.4,,,,,,,,,,148.003,39.0592926829268,,45.1854389676701,52.2781931810289,20.29962345871,
"Afghanistan","1974","South Asia","Low income",49180000,,14.0206189325114,175.027097668921,,,0.16741,16.80869,,72.91101,10.9764,,,284.9,,,,,,,,,,147.109,38.5609024390244,,45.1232193958322,52.3061449209792,13.9742449191501,
"Afghanistan","1963","South Asia","Low income",36670000,,9.171601094149,78.8025868928114,,,,,,,,,,345,,,,,,,,,,145.321,33.6578780487805,,42.7341498842529,54.480848088271,,
"Afghanistan","1986","South Asia","Low income",1910000,,,,,,0.53356,,,,12.43842,,,209.2,,,,,,,,,,159.8222,46.4269512195122,,47.4603654584001,50.3010460139301,,
"Afghanistan","1983","South Asia","Low income",13280000,,,,,,,,,,,,,229.7,,,,,,,,,,156.3758,43.9759268292683,,46.6775116570073,50.9314570821384,,
"Afghanistan","1977","South Asia","Low income",85610000,,11.6629043316852,226.196426605461,,,0.19284,17.4348,,,12.77696,,,267.8,,,,,,,,,,149.791,40.1101463414634,,45.6776123522853,51.7889060459469,,
"Afghanistan","2009","South Asia","Low income",6234000000,,14.707588950143,458.955781585831,,,0.61309,,,,46.73276,,0.1,107.6,46.2,28.7,,,43.52543981,,,,8.23799991607666,105.5516,58.6036829268293,,47.7666776894473,49.9848845664201,,
"Afghanistan","2015","South Asia","Low income",4239180000,,7.1496011812672,594.323081219966,58.1549,38.16804,0.65171,,,,55.64441,12.509,0.1,91.1,55.3,31.9,58.6,8.8,,,,,8.51599979400635,71.2034,60.7171707317073,12.1,44.0419494688679,53.488960806863,3.45045600557406,
"Afghanistan","2012","South Asia","Low income",6668030000,,5.51685032452764,690.842629014956,,,0.67378,,,,56.67734,10.3568,0.1,99.5,51.6,30.5,,,58.16803071,,,,8.18000030517578,87.794,59.6796097560976,,46.449243129172,51.19994571902,,
"Afghanistan","1961","South Asia","Low income",34670000,,4.45344326574765,59.8900370439272,,,,,,,,,,356.5,,,,,,,,,,145.321,32.7774390243902,,42.4737518883092,54.7177969971451,,
"Afghanistan","2005","South Asia","Low income",2837950000,,27.3952555550972,257.175694454209,,,0.54896,,,,19.7837,,0.1,119.6,39.1,26.3,,,21.89580296,,,,8.5,128.9332,57.027243902439,,47.5924989676207,50.2314554112984,,
"Afghanistan","1990","South Asia","Low income",121720000,,,,,,,,,,11.22283,,0.1,181,,,,,,,,,,162.738,49.8610487804878,,48.0651697069087,49.7277579496121,,
"Afghanistan","1973","South Asia","Low income",55950000,,12.9487180787311,144.173944355103,,,0.16919,,,,10.83169,,,290.8,,,,,,,,,,146.215,38.0785365853659,,44.9944163092678,52.407258581691,11.6195424928802,
"Afghanistan","1989","South Asia","Low income",148320000,,,,,,,,,,13.0112,,,187.8,,,,,,,,,,162.149,49.0311219512195,,47.7122030510621,50.0311629102187,,
"Afghanistan","1971","South Asia","Low income",44440000,,10.922342255116,160.443151707287,,,0.16162,,,,9.35029,,,302.1,,,,,,,,,,145.321,37.152756097561,,44.5556098706884,52.8185625622272,14.553298159669,
"Afghanistan","1988","South Asia","Low income",72360000,,,,,,0.50258,,,,13.54388,,,195,,,,,,,,,,161.56,48.1697317073171,,47.5705816082044,50.1567806235148,,
"Afghanistan","1984","South Asia","Low income",6500000,,,,,,0.47181,18.40089,,,12.67882,,,222.9,,,,,,,,,,157.5246,44.7590243902439,,46.9292281811306,50.7508912899129,,
"Afghanistan","1981","South Asia","Low income",23910000,,,267.662423566787,,,0.243,33.22001,,,19.58524,,,242.7,,,,,,,,,,154.1398,42.5269268292683,,46.220324610679,51.3464610046547,,
"Afghanistan","1980","South Asia","Low income",33010000,,,275.649818656436,,,,26.71749,,,16.94214,,,249.1,,,,,,,,,,153.0526,41.8675365853659,,45.9500695307965,51.6350561166361,,
"Afghanistan","2006","South Asia","Low income",2962000000,,26.4702926571493,280.245644106914,,,0.57509,,,,29.93046,,0.1,116.3,40.8,26.9,30.3,,22.18140928,,,,8.41800022125244,123.1616,57.4325609756098,,47.6963335089105,50.1066586349895,,
"Afghanistan","2000","South Asia","Low income",136010000,,,,,,,,,,,,0.1,137,30.3,23.4,36.9,,,,,,1.12999999523163,153.8456,55.1258780487805,,48.5636389106859,49.1994747725351,,
"Afghanistan","1966","South Asia","Low income",50360000,,8.57142877551021,137.946782954494,,,,,,,,,,328.7,,,,,,,,,,145.321,34.9574146341463,,43.2604865915231,54.0250655222601,,
"Afghanistan","2016","South Asia","Low income",,,,,,,,,,,,,,,,,,,,,,,8.53999996185303,,,,,,,
"Afghanistan","1978","South Asia","Low income",82520000,,10.8417502819894,249.57370988274,,,0.1994,19.12658,,,13.44863,,,261.6,,,,,,,,,,150.8782,40.6676097560976,,45.8665943860892,51.6257419996314,,
"Afghanistan","1987","South Asia","Low income",45280000,,,,,,,,,,,,,202.1,,,,,,,,,,160.971,47.2963414634146,,47.5241163908903,50.2123844101376,,
"Afghanistan","2013","South Asia","Low income",5152540000,,6.30789504119987,653.347488111011,,,0.65975,,,,56.68866,14.1028,0.1,96.7,53.4,31.1,,,53.36597308,,,,8.35700035095215,82.2638,60.0282682926829,,45.6852570683615,51.9203291778701,,
"Afghanistan","1997","South Asia","Low income",230750000,,,,,,,,,,,,0.1,145.5,25,21.7,,,,,,,1.13699996471405,165.242,54.0178292682927,,48.1865107992457,49.5106500840351,,
"Afghanistan","1998","South Asia","Low income",164200000,,,,,,,,,,,,0.1,142.6,26.8,22.2,,,,,,,1.13199996948242,161.4432,54.4027317073171,,48.3438817425727,49.3729890856917,,
"Afghanistan","2004","South Asia","Low income",2310640000,,33.9964942565238,224.914869067855,,,0.40625,,,,18.66479,,0.1,123.2,37.3,25.7,,,20.89000224,,,,8.47900009155273,134.7048,56.6263170731707,,47.8814332857444,49.9381868394905,,
"Afghanistan","1976","South Asia","Low income",71430000,,13.2173912468809,199.16480930329,,,0.18116,,,,11.93622,,,273.6,,,,,,,,,,148.897,39.5757073170732,,45.4462001341869,52.0106323873204,13.2242232130081,
"Afghanistan","1996","South Asia","Low income",169630000,,,,,,,,,,,,0.1,148.6,23.3,21.1,,,,,,,1.13800001144409,164.9768,53.6020487804878,,47.9888798636296,49.6939045178414,,
"Afghanistan","2001","South Asia","Low income",410360000,,,119.899018754608,,,0,,,,13.04874,,0.1,133.8,32,23.9,,,,,,,1.14499998092651,150.0468,55.4875365853659,,48.5060610311351,49.2773374714337,,
"Afghanistan","1985","South Asia","Low income",16320000,,,,,,0.47814,19.15854,,,13.46313,,,216,,,,,,,,,,158.6734,45.5770243902439,,47.2965731991872,50.49911878236,,
"Afghanistan","1991","South Asia","Low income",507530000,,,,,,0.53816,,,,16.3063,,0.1,174.2,21.2,20.5,,,,,,,1.20700001716614,163.327,50.6409756097561,,48.0294500731623,49.7492684161086,,
"Afghanistan","2003","South Asia","Low income",1593670000,,43.5568692886976,203.650833206291,,,0.54432,,,,13.31708,,0.1,126.8,35.5,25.1,16.1,,19.33236793,,,,8.44099998474121,140.4764,56.2352926829268,,48.1316695937082,49.6795271663928,,
"Afghanistan","2008","South Asia","Low income",4875860000,,17.9929746901578,384.131681276838,,,0.58902,,,,40.22338,,0.1,110.4,44.4,28,36,,33.80518937,,,,8.27799987792969,111.4708,58.2250243902439,,47.8252284946353,49.9460867743403,,
"Afghanistan","1965","South Asia","Low income",53930000,,11.2582791310323,101.321627039285,,,,,,,,,,334.1,,,,,,,,,,145.321,34.5253902439024,,42.9359264155353,54.3590074962573,,
"Albania","1961","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,56.1654,63.2734634146342,,40.5407553587073,54.0679434913438,,
"Albania","1985","Europe & Central Asia","Upper middle income",,,16.2355450687433,662.914792567128,,,0.93917,,,,85.33975,,,54.3,,,,,,,,,,16.4924,71.4712195121951,,33.9873715745489,60.6128018783881,,
"Albania","1988","Europe & Central Asia","Upper middle income",5560000,,16.382290098777,676.566732520011,,,0.95444,,,,88.72785,,,44.9,,,,,,,,,,16.8202,71.9532926829268,,33.2648329842631,61.3148188462915,,
"Albania","1966","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,47.802,66.0893170731707,,41.6421516532104,52.9545853599933,,
"Albania","2015","Europe & Central Asia","Upper middle income",334270000,,27.1889596891983,3945.21758150914,99.0292,97.5539,0.94666,106.36756,,,95.76549,,,14,95.1,93.2,,10.3,,,,,17.0799999237061,21.8354,78.0144634146342,,18.5462041185786,69.0574620108062,8.80663849491778,1.48734647699569
"Albania","1997","Europe & Central Asia","Upper middle income",168230000,,9.74565430524773,749.584648972451,,,0.95812,,,,69.67037,11.15339,,30.3,95.8,81,,,52.94161894,,,,13.4549999237061,19.33,72.8980975609756,,31.6641934556541,61.6368916636567,0.812082229961594,0.339874041348881
"Albania","1991","Europe & Central Asia","Upper middle income",331950000,,7.22457950300987,348.711317786982,,,0.9444,,,,91.1052,,,38.8,,78.2,,,,,,,13.210000038147,18.2548,71.9184146341463,,32.8123750167153,61.53088533503,,
"Albania","1994","Europe & Central Asia","Upper middle income",163100000,,11.3516873339455,619.065163447139,,,0.99514,,,,68.96015,,,34.6,95.7,78.6,,,,,,,15.3509998321533,18.9718,72.0419512195122,,32.7300156592586,61.0254490016984,,
"Albania","2006","Europe & Central Asia","Upper middle income",324040000,,24.9339955165743,3005.0129033756,,,0.9729,,,,77.95589,10.93295,,19.5,96,88.1,,,175.46111256,,,,13.0559997558594,18.727,76.2861219512195,,25.2543562367307,65.7237372821882,13.6870930880734,6.1674149347664
"Albania","1973","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,28.6554,67.9579512195122,,39.7900432740864,55.0290785035033,,
"Albania","2009","Europe & Central Asia","Upper middle income",357080000,,29.6008670018631,4114.13654490945,,,1.00293,94.08693,,10.60667,85.40931,,,17.3,95.7,90.2,97.3,,238.07097947,,,,13.7600002288818,19.4792,76.8403658536586,2.8,22.2681018988452,67.2779760031619,11.6024144572502,0.764653339194069
"Albania","2016","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,16.3330001831055,,,,,,,
"Albania","2001","Europe & Central Asia","Upper middle income",268530000,,18.4315710845747,1326.97033929337,99.43515,98.71298,0.97363,96.88066,,5.67265,72.90516,10.58193,,24.9,96.2,84.2,,,78.66819861,,,,22.6800003051758,19.254,74.7325609756098,,29.6367937830276,63.0242761659144,1.44835970613169,0.724100711307847
"Albania","1960","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,54.4408,62.2543658536585,,40.1549093122843,54.4346946983412,,
"Albania","1970","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,35.7928,66.9325853658537,,40.9099405654789,53.8967228710845,,
"Albania","2012","Europe & Central Asia","Upper middle income",349160000,,33.3516426236448,4247.83985201907,99.2314,97.24697,0.96077,103.61884,,3.86291,92.74147,,,15.5,95.4,92.1,,,239.51286789,8.85,1.06,28.96,13.4379997253418,20.798,77.4439756097561,,19.9280930423405,68.57029986458,26.5907812657436,0.443274093451163
"Albania","1982","Europe & Central Asia","Upper middle income",,,19.3750006044487,,,,0.93316,,,,87.0645,,,67.8,,,,,,,,,,16.718,70.6851219512195,,35.036715722578,59.6089753130475,,
"Albania","1971","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,32.6304,67.2388780487805,,40.5412708216018,54.2779876841474,,
"Albania","1975","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,27.0302,68.7412195121951,,38.7846612661012,56.0184868380399,,
"Albania","1974","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,27.8428,68.3483414634146,,39.3287673730436,55.4830319864556,,
"Albania","1969","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,38.9552,66.6816097560976,,41.1977289623972,53.5826565958154,,
"Albania","1963","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,55.368,64.8870975609756,,41.2118067636843,53.3530518566259,,
"Albania","1979","Europe & Central Asia","Upper middle income",,,,,,,0.93664,,,,88.25961,,,84.7,,,,,,,,,,21.9302,70.0096585365854,,36.4810816779564,58.2373614490403,,
"Albania","1977","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,25.405,69.4561707317073,,37.7103018465218,57.0511809788357,,
"Albania","2008","Europe & Central Asia","Upper middle income",364840000,,29.5902278534988,4370.53964653148,98.83121,95.93864,0.98816,95.13124,,9.73271,83.64892,,,17.9,95.8,89.6,,,254.735035,8.87,0.37,29.98,13,19.0396,76.6520731707317,,23.2230782344899,66.8164295056715,21.8142720048,3.46961564193234
"Albania","1983","Europe & Central Asia","Upper middle income",,,18.1966040097454,,,,0.95862,,,,82.02884,,,62.8,,,,,,,,,,16.6428,70.9373902439024,,34.6596801542239,59.9644693979498,,
"Albania","2007","Europe & Central Asia","Upper middle income",308630000,,28.0842219491787,3603.01368536638,,,0.9858,97.80806,,,81.28087,11.17719,,18.7,95.9,88.9,,,216.94308134,,,,13.5,18.6,76.4702926829268,,24.2331647983675,66.2853235084191,7.45300316147739,1.31430513179235
"Albania","1993","Europe & Central Asia","Upper middle income",270680000,,15.4225232597195,380.527371084275,,,1.03441,,,,70.54801,,,36,,78.4,,,,,,,15.5649995803833,18.8524,71.9358536585366,,32.8128120470664,61.1488567771175,,
"Albania","1999","Europe & Central Asia","Upper middle income",488180000,,15.816731036851,1098.42546338936,,,0.95522,,,2.68575,71.91153,9.68246,,27.5,95.9,82.6,,,75.95312403,,,,14.53600025177,19.292,73.7933902439025,,30.7868337843447,62.2778103992775,1.97816198362317,1.74455386513131
"Albania","1989","Europe & Central Asia","Upper middle income",10340000,,17.9401526574603,723.409610237851,,,0.95229,,,,88.95282,,,42.5,,,,,,,,,,17.2984,71.9785853658537,,33.0222681602467,61.5319859886976,,
"Albania","1996","Europe & Central Asia","Upper middle income",226640000,,11.195767212162,1046.35851058923,,,0.97519,92.02439,,,68.13892,,,31.8,95.7,80.2,,,72.42532839,9.15,1.1,27.01,14.4049997329712,19.2106,72.5274146341463,,32.1279778941629,61.292178546549,2.85921784746074,0.179503227852738
"Albania","2004","Europe & Central Asia","Upper middle income",300940000,,21.9829364119704,2416.5882350701,,,0.96657,92.96963,,8.88871,74.17028,10.70316,,21.5,96.1,86.6,,,153.26255007,,,,13.9139995574951,18.981,75.8312195121951,,27.2320522411863,64.5155002419648,2.62771190807075,0.991776724901072
"Albania","1962","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,57.89,64.1628536585366,,40.8996083780059,53.694684472375,,
"Albania","2003","Europe & Central Asia","Upper middle income",349310000,,20.3559109079142,1890.68155743544,,,,94.08103,,8.28969,75.01899,10.5736,,22.5,96.1,85.8,,,112.63011779,,,,13.9499998092651,19.108,75.5232926829268,,28.1148652008553,63.9529746923769,0.939453931081243,0.959974650011442
"Albania","1968","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,42.1176,66.4749512195122,,41.4365587241911,53.2934435645661,,
"Albania","1984","Europe & Central Asia","Upper middle income",,,17.4130828745422,662.520052309054,,,0.94992,,,,82.28929,,,58.3,,,,,,,,,,16.5676,71.2065365853659,,34.3109122929153,60.2980434865022,,
"Albania","1965","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,50.324,65.8273902439024,,41.5320192497857,53.0102182081877,,
"Albania","2000","Europe & Central Asia","Upper middle income",317850000,,17.8670840199967,1175.78898073398,,,0.96269,97.10421,,4.11012,71.4528,10.13703,,26.2,96.1,83.4,95.3,,74.02882494,,,,14.1479997634888,19.273,74.2715365853659,,30.2633117283506,62.662201530126,1.85136878891281,0.697374879419064
"Albania","1998","Europe & Central Asia","Upper middle income",268740000,,10.8443029094592,865.302161845067,,,,,,,71.65516,9.62407,,28.9,95.8,81.8,,,61.25168194,,,,14.2299995422363,19.311,73.3265853658537,,31.2372175946486,61.9503122564776,1.16927644792172,0.761716062589341
"Albania","1980","Europe & Central Asia","Upper middle income",,,23.1155877404787,,,,0.92638,,,,90.20202,,,78.6,,,,,,,,,,20.1928,70.2359756097561,,35.9488222821861,58.7498717946327,,
"Albania","2010","Europe & Central Asia","Upper middle income",365070000,,32.440016829285,4094.35883191918,,,0.98444,92.84414,,8.96613,88.41164,,,16.6,95.6,90.9,,,219.27385748,,,,14.1999998092651,19.9188,77.0369512195122,,21.4251229288017,67.6200591133412,17.9732269041857,0.893509248780069
"Albania","1972","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,29.468,67.5859512195122,,40.1790365074393,54.6437150430243,,
"Albania","1981","Europe & Central Asia","Upper middle income",,,22.9826424624068,,,,0.9221,,,,91.20017,,,73,,,,,,,,,,18.4554,70.4544634146341,,35.461986474022,59.2090019153089,,
"Albania","1992","Europe & Central Asia","Upper middle income",409640000,,11.4904380543576,218.492165902633,,,1.00517,,,,77.9228,,,37.3,,78.3,,,,,,,14.2360000610352,18.733,71.9008048780488,,32.8548641877324,61.3083080269072,,
"Albania","1976","Europe & Central Asia","Upper middle income",,,,,,,0.93103,,,,84.97827,,,,,,,,,,,,,26.2176,69.115512195122,,38.2960454288332,56.4868536702352,,
"Albania","1964","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,52.846,65.4381951219512,,41.4323962516734,53.1115819300975,,
"Albania","2014","Europe & Central Asia","Upper middle income",281180000,,28.230908028688,4568.56882650826,,,0.94386,107.82132,,4.07911,96.42609,,,14.4,95.1,93.2,,,272.20429151,,,,17.4899997711182,21.4896,77.8304634146342,,18.9304268021744,69.007321236014,1.56752336260238,0.120347981733419
"Albania","2013","Europe & Central Asia","Upper middle income",269980000,,35.4490589254822,4412.34557813421,,,0.9515,94.52274,,4.0874,95.83157,12.12391,,14.9,95.2,92.7,,,253.3418956,,,,15.6400003433228,21.1438,77.6404634146342,,19.3822939907695,68.8480241780111,31.0030518237451,0.513330673282242
"Albania","1987","Europe & Central Asia","Upper middle income",,,15.4662970134491,699.384292086697,,,0.94115,,,,87.93179,,,47.6,,,,,,,,,,16.342,71.8619512195122,,33.4768829757514,61.1077115696612,,
"Albania","1986","Europe & Central Asia","Upper middle income",,,15.0575048012794,719.157295703914,,,0.93855,,,,88.47091,,,50.7,,,,,,,,,,16.4172,71.6975609756098,,33.7100949916853,60.8770527355613,,
"Albania","2005","Europe & Central Asia","Upper middle income",315080000,,22.824073563437,2709.14293056201,,,0.96499,,,,76.88706,11.35797,,20.5,96,87.4,97.1,,166.22792891,8.4,1.12,30.6,13.8319997787476,18.854,76.0816097560976,,26.2911025082312,65.1267028575952,8.66272951299641,4.22269969691477
"Albania","1990","Europe & Central Asia","Upper middle income",11050000,,14.8694465271417,639.463899289892,,,0.94291,,,,90.26128,,,40.6,,78.1,,,,,,,,17.7766,71.9573170731707,,32.6958819766731,61.8015251170747,,
"Albania","1978","Europe & Central Asia","Upper middle income",,,,,,,0.93242,,,,86.51271,,,91.1,,,,,,,,,,23.6676,69.754243902439,,37.0803839267141,57.6591513096629,,
"Albania","2011","Europe & Central Asia","Upper middle income",379480000,,34.0136853607969,4437.8119990258,98.79119,96.8453,0.96891,98.04717,,6.77434,90.84835,,,16,95.5,91.5,,,255.2555999,,,,13.9770002365112,20.3584,77.2405853658537,,20.609006898798,68.1569017432372,21.1919470575015,0.530148790877421
"Albania","2002","Europe & Central Asia","Upper middle income",307360000,,19.5988742669831,1453.64277660853,,,,,,,73.00286,9.88692,,23.6,96.1,85,90.6,,89.9161553,8.35,2.35,31.74,14.8459997177124,19.235,75.1546097560976,6.4,28.9228820484184,63.4510065601234,2.00964296137502,0.699557264166718
"Albania","1967","Europe & Central Asia","Upper middle income",,,,,,,,,,,,,,,,,,,,,,,,45.28,66.2872195121951,,41.6001440940214,53.0634238840844,,
"Albania","1995","Europe & Central Asia","Upper middle income",180600000,,12.475374262714,760.559375774093,,,0.97112,,,,68.93171,,,33.2,95.7,79.4,,,51.48380136,,,,14.7110004425049,19.0912,72.2360243902439,,32.6548486558362,60.8999117077233,,
"Algeria","1999","Middle East & North Africa","Upper middle income",137980000,,28.1501164981712,1580.95636286884,,,0.94894,82.34738,93.72814,10.27447,65.27889,,0.1,40.2,89.9,83.3,,,54.28883852,,,,25.9379997253418,12.7934,69.7629268292683,,35.4135925083055,60.4031956653185,96.484431698099,4.44239654128505
"Algeria","1973","Middle East & North Africa","Upper middle income",125090000,,25.5036630012744,551.434441695138,,,0.64049,43.27794,,32.50195,13.52412,,,222.5,,,,,,,,,,101.6092,51.6457073170732,,46.856463264599,49.5451084974414,82.9795680030677,
"Algeria","2003","Middle East & North Africa","Upper middle income",239240000,,38.2488291070122,2094.89330754056,,,0.99029,89.62774,97.91976,5.54714,73.75566,,0.1,36.5,88.5,84.7,,,75.43769203,,,,23.7000007629395,9.6814,71.421,,30.9008959006678,64.3593806750856,97.2668463384999,2.28679011860615
